Pathways	Genes of pathway	Enzymes of pathway	Ontology - parents of class	Products of pathway
lipoate biosynthesis and incorporation I	"lipA // ""lipB"" // ""acpP"" // ""entB"" // ""fdx"""	"lipoyl synthase // ""lipoyl(octanoyl) transferase"""	Lipoate Biosynthesis	"a <i>holo</i>-[acyl-carrier protein] // ""H<SUP>+</SUP>"" // ""a [lipoyl-carrier protein]-<i>N<sup>6</sup></i>-lipoyl-L-lysine"" // ""5'-deoxyadenosine"" // ""L-methionine"" // ""an unsulfurated [sulfur carrier]"" // ""an oxidized [2Fe-2S] ferredoxin"""
lipoate biosynthesis and incorporation II	"lplA // ""lipA"" // ""fdx"""	"lipoate-protein ligase A // ""lipoyl synthase"""	Lipoate Biosynthesis	"a [lipoyl-carrier protein]-<i>N<sup>6</sup></i>-lipoyl-L-lysine // ""5'-deoxyadenosine"" // ""L-methionine"" // ""an unsulfurated [sulfur carrier]"" // ""an oxidized [2Fe-2S] ferredoxin"" // ""AMP"" // ""diphosphate"" // ""H<SUP>+</SUP>"""
lipoate salvage I	lplA	lipoate-protein ligase A	Lipoate Biosynthesis	"diphosphate // ""a [lipoyl-carrier protein]-<i>N<sup>6</sup></i>-lipoyl-L-lysine"" // ""AMP"""
mannitol degradation I	mtlD	mannitol-1-phosphate 5-dehydrogenase	Sugar Alcohols Degradation	"H<SUP>+</SUP> // ""&beta;-D-fructofuranose 6-phosphate"" // ""NADH"""
melibiose degradation	melA	&alpha;-galactosidase monomer	Sugars Degradation	"D-galactopyranose // ""D-glucopyranose"""
menaquinol-8 biosynthesis	ubiE	"bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase"	Menaquinol Biosynthesis	"menaquinol-<i>8</i> // ""H<SUP>+</SUP>"" // ""<i>S</i>-adenosyl-L-homocysteine"""
methylerythritol phosphate pathway I	"dxs // ""dxr"" // ""ispH"" // ""ispD"" // ""ispE"" // ""ispF"" // ""idi"" // ""ispG"" // ""fldA"" // ""fdx"""	"1-deoxyxylulose-5-phosphate synthase // ""Dxr"" // ""1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase"" // ""4-diphosphocytidyl-2C-methyl-D-erythritol synthetase monomer"" //  // ""2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase monomer"" // ""isopentenyl diphosphate isomerase"" // EG10370-MONOMER"	Isopentenyl Diphosphate Biosynthesis	"an oxidized flavodoxin // ""H<sub>2</sub>O"" // ""dimethylallyl diphosphate"" // ""CMP"" // ""ADP"" // ""diphosphate"" // ""an oxidized ferredoxin [iron-sulfur] cluster"" // ""NADP<sup>+</sup>"" // ""CO<SUB>2</SUB>"""
methylglyoxal degradation I	"gloA // ""gloB"" // ""yeiG"" // ""gloC"" // ""dld"""	"glyoxalase I // ""glyoxalase II"" //  // ""glyoxalase II"" // DLACTDEHYDROGFAD-MONOMER"	"Aldehyde Degradation // ""Methylglyoxal Detoxification"""	"an ubiquinol // ""pyruvate"" // ""H<SUP>+</SUP>"""
methylglyoxal degradation II	"hchA // ""yhbO"" // ""dld"""	"amino acid deglycase Hsp31 // ""amino acid deglycase"" // DLACTDEHYDROGFAD-MONOMER"	"Aldehyde Degradation // ""Methylglyoxal Detoxification"""	"an ubiquinol // ""pyruvate"" // ""H<SUP>+</SUP>"""
methylglyoxal degradation III	"yghZ // ""dkgB"" // ""dkgA"" // ""yeaE"" // ""yqhD"" // ""gldA"""	"L-glyceraldehyde 3-phosphate reductase // MONOMER0-149 // MONOMER0-148 // ""methylglyoxal reductase"" // ""NADPH-dependent aldehyde reductase"" // ""L-1,2-propanediol dehydrogenase / glycerol dehydrogenase"""	"Aldehyde Degradation // ""Methylglyoxal Detoxification"""	"(<i>S</i>)-propane-1,2-diol // ""NAD<sup>+</sup>"" // ""NADP<sup>+</sup>"""
methylglyoxal degradation IV	"aldA // ""lldD"""	"aldehyde dehydrogenase A, NAD-linked // ""L-lactate dehydrogenase"" // METHYLGLYREDUCT-MONOMER"	"Aldehyde Degradation // ""Methylglyoxal Detoxification"" // ""Superpathways"""	"(<i>S</i>)-lactaldehyde // ""NADP<sup>+</sup>"""
methylphosphonate degradation I	"phnL // ""phnH"" // ""phnG"" // ""phnI"" // ""phnM"" // ""phnJ"" // ""phnP"""	"methylphosphonate degradation complex // ""RPnTP hydrolase"" // ""carbon-phosphorus lyase core complex, PhnJ subunit"" // ""5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase"""	Methylphosphonate Degradation	"H<SUP>+</SUP> // ""&alpha;-D-ribose 1,5-bisphosphate"" // ""methane"" // ""diphosphate"" // ""adenine"""
mixed acid fermentation	"pta // ""eutD"" // ""ackA"" // ""tdcE"" // ""pflB"" // ""adhP"" // ""adhE"" // ""pykA"" // ""pykF"" // ""ldhA"" // ""fumC"" // ""fumB"" // ""fumA"" // ""mdh"" // ""ppc"" // ""fdhF"" // ""hycE"" // ""hycB"" // ""hycG"" // ""hycF"" // ""hycC"" // ""hycD"" // ""frdA"" // ""frdB"" // ""frdC"" // ""frdD"" // ""gltA"" // ""acnB"" // ""icd"""	"Pta // ""phosphate acetyltransferase"" // ""acetate kinase"" // ""2-ketobutyrate formate-lyase / pyruvate formate-lyase 4"" // PYRUVFORMLY-CPLX // ""ethanol dehydrogenase / alcohol dehydrogenase"" // ""aldehyde-alcohol dehydrogenase"" // ""pyruvate kinase II"" // ""pyruvate kinase I"" // ""D-lactate dehydrogenase - fermentative"" // ""fumarase C"" // ""fumarase B"" // ""fumarase A"" // ""malate dehydrogenase"" // ""Ppc"" // ""formate dehydrogenase H"" // ""hydrogenase 3"" // ""fumarate reductase flavoprotein"" // ""fumarate reductase iron-sulfur protein"" // ""fumarate reductase membrane protein"" // ""fumarate reductase membrane protein"" // ""citrate synthase monomer"" // ""bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase"" // ""Icd"""	|Fermentation|	"NADPH // ""2-oxoglutarate"" // ""CO<SUB>2</SUB>"" // ""a menaquinone"" // ""succinate"" // ""H<SUB>2</SUB>"" // ""NAD<sup>+</sup>"" // ""(<i>R</i>)-lactate"" // ""ATP"" // ""ethanol"" // ""acetate"""
molybdenum cofactor biosynthesis	"moaA // ""moaD"" // ""moaE"" // ""mog"" // ""moeA"" // ""moeB"" // ""ynjE"" // ""iscS"" // ""sufS"""	"molybdopterin biosynthesis protein A // ""molybdopterin synthase"" // ""molybdopterin adenylyltransferase"" // ""molybdopterin molybdenumtransferase"" // ""molybdopterin-synthase adenylyltransferase"" // ""molybdopterin synthase sulfurtransferase"" // ""cysteine desulfurase"" // ""L-cysteine desulfurase"""	Molybdenum Cofactor Biosynthesis	"L-alanine // ""AMP"" // ""an oxidized unknown electron acceptor"" // ""diphosphate"" // ""MoO<sub>2</sub>-molybdopterin cofactor"""
muropeptide degradation	"ldcA // ""mepS"" // ""mpaA"" // ""ycjG"" // ""pepD"""	"L,D-carboxypeptidase A // G7147-MONOMER // ""murein tripeptide amidase A"" // ""L-Ala-D/L-Glu epimerase"" // ""peptidase D"""	Polymeric Compounds Degradation	"L-alanine // ""L-glutamate"" // ""<i>meso</i>-diaminopimelate"" // ""D-alanine"""
<i>N</i>-acetylglucosamine degradation I	"nagB // ""nagA"""	"glucosamine-6-phosphate deaminase // ""<i>N</i>-acetylglucosamine-6-phosphate deacetylase"""	<i>N</i>-acetylglucosamine degradation	"D-glucosamine 6-phosphate // ""acetate"" // ""ammonium"" // ""&beta;-D-fructofuranose 6-phosphate"""
<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I	"nanE // ""nanA"" // ""nanK"""	"predicted <i>N</i>-acetylmannosamine-6-phosphate epimerase // ""<i>N</i>-acetylneuraminate lyase"" // ""<i>N</i>-acetylmannosamine kinase"""	"<i>N</i>-Acetylneuraminate and <i>N</i>-Acetylmannosamine Degradation // ""Sugars Degradation"""	"H<SUP>+</SUP> // ""ADP"" // ""pyruvate"" // ""<i>N</i>-acetyl-D-glucosamine 6-phosphate"""
<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis	"folA // ""folM"" // ""fau"" // ""metF"" // ""metH"" // ""lpd"" // ""gcvP"" // ""gcvH"" // ""gcvT"" // ""folD"" // ""glyA"" // ""thyA"""	"dihydrofolate reductase // G6862-MONOMER // ""5-formyltetrahydrofolate cyclo-ligase"" // ""5,10-methylenetetrahydrofolate reductase"" // ""cobalamin-dependent methionine synthase"" // ""glycine cleavage system"" // ""bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase"" // ""serine hydroxymethyltransferase"" // ""thymidylate synthase"""	Folate Biosynthesis	"dTMP // ""L-serine"" // ""an <i>N</i><sup>10</sup>-formyl-tetrahydrofolate"" // ""ammonium"" // ""CO<SUB>2</SUB>"" // ""L-methionine"" // ""ADP"" // ""phosphate"""
N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	"tsaE // ""tsaD"" // ""tsaB"" // ""tsaC"""	"N<sup>6</sup>-L-threonylcarbamoyladenine synthase // ""threonylcarbamoyl-AMP synthase"""	Nucleic Acid Processing	"diphosphate // ""H<sub>2</sub>O"" // ""<i>N</i><sup>6</sup>-L-threonylcarbamoyladenine<sup>37</sup> in tRNA"" // ""AMP"" // ""H<SUP>+</SUP>"""
NAD biosynthesis I (from aspartate)	"nadD // ""nadE"" // ""nadC"" // ""nadA"" // ""nadB"""	"NICONUCADENYLYLTRAN-MONOMER // ""NAD synthetase, NH<sub>3</sub>-dependent"" // ""quinolinate phosphoribosyltransferase"" //  // ""L-aspartate oxidase"""	NAD Biosynthesis	"hydrogen peroxide // ""phosphate"" // ""diphosphate"" // ""CO<SUB>2</SUB>"" // ""AMP"" // ""NAD<sup>+</sup>"" // ""L-glutamate"""
NAD phosphorylation and dephosphorylation	"nadK // ""pntB"" // ""pntA"""	"NAD kinase monomer // ""pyridine nucleotide transhydrogenase, &beta; subunit"" // ""pyridine nucleotide transhydrogenase, &alpha; subunit"" // NADPPHOSPHAT-MONOMER"	NAD Metabolism	"phosphate // ""NADPH"" // ""ADP"""
NAD salvage pathway I	"nadD // ""pncB"" // ""nadE"" // ""pncA"""	"NICONUCADENYLYLTRAN-MONOMER // NICOTINATEPRIBOSYLTRANS-MONOMER // NMNNUCLEOSID-MONOMER // ""NAD synthetase, NH<sub>3</sub>-dependent"" // NICOTINAMID-MONOMER"	NAD Biosynthesis	"ammonium // ""AMP"" // ""diphosphate"" // ""L-glutamate"" // ""D-ribofuranose 5-phosphate"" // ""ADP"" // ""phosphate"""
NAD salvage pathway II	"nadD // ""pncC"" // ""nadE"""	"NICONUCADENYLYLTRAN-MONOMER // ""NMN aminohydrolase"" // ""NAD synthetase, NH<sub>3</sub>-dependent"""	NAD Biosynthesis	"AMP // ""diphosphate"" // ""L-glutamate"" // ""ammonium"""
NAD salvage pathway III	nadR	"NADPPHOSPHAT-MONOMER // ""NadR DNA-binding transcriptional repressor and NMN adenylyltransferase"""	"NAD Biosynthesis // ""Superpathways"""	"1-(&beta;-D ribofuranosyl)nicotinamide // ""phosphate"" // ""H<SUP>+</SUP>"" // ""AMP"""
NAD salvage pathway IV	nadR	NadR DNA-binding transcriptional repressor and NMN adenylyltransferase	NAD Biosynthesis	"ADP // ""NAD<sup>+</sup>"" // ""diphosphate"""
NADH to cytochrome <i>bd</i> oxidase electron transfer I	"nuoA // ""nuoH"" // ""nuoJ"" // ""nuoK"" // ""nuoL"" // ""nuoM"" // ""nuoN"" // ""nuoI"" // ""nuoG"" // ""nuoF"" // ""nuoE"" // ""nuoC"" // ""nuoB"" // ""cydA"" // ""cydB"" // ""cydX"""	"NADH:quinone oxidoreductase I // ""cytochrome <i>bd</i>-I terminal oxidase subunit I"" // ""cytochrome <i>bd</i>-I terminal oxidase subunit II"" // ""cytochrome <i>bd</i>-I terminal oxidase - CydX subunit"""	"Aerobic Respiration // ""Electron Transfer"""	"H<sub>2</sub>O // ""NAD<sup>+</sup>"""
NADH to cytochrome <i>bd</i> oxidase electron transport II	"ndh // ""cydA"" // ""cydB"" // ""cydX"""	"NADH:quinone oxidoreductase II // ""cytochrome <i>bd</i>-I terminal oxidase subunit I"" // ""cytochrome <i>bd</i>-I terminal oxidase subunit II"" // ""cytochrome <i>bd</i>-I terminal oxidase - CydX subunit"""	"Aerobic Respiration // ""Electron Transfer"""	"H<sub>2</sub>O // ""NAD<sup>+</sup>"""
NADH to cytochrome <i>bo</i> oxidase electron transfer I	"nuoA // ""nuoH"" // ""nuoJ"" // ""nuoK"" // ""nuoL"" // ""nuoM"" // ""nuoN"" // ""nuoI"" // ""nuoG"" // ""nuoF"" // ""nuoE"" // ""nuoC"" // ""nuoB"" // ""cyoD"" // ""cyoA"" // ""cyoB"" // ""cyoC"""	"NADH:quinone oxidoreductase I // ""cytochrome <i>bo</i> terminal oxidase"""	"Aerobic Respiration // ""Electron Transfer"""	"H<sub>2</sub>O // ""NAD<sup>+</sup>"""
NADH to cytochrome <i>bo</i> oxidase electron transfer II	"ndh // ""cyoD"" // ""cyoA"" // ""cyoB"" // ""cyoC"""	"NADH:quinone oxidoreductase II // ""cytochrome <i>bo</i> terminal oxidase"""	"Aerobic Respiration // ""Electron Transfer"""	"H<sub>2</sub>O // ""NAD<sup>+</sup>"""
NADH to dimethyl sulfoxide electron transfer	"nuoA // ""nuoH"" // ""nuoJ"" // ""nuoK"" // ""nuoL"" // ""nuoM"" // ""nuoN"" // ""nuoI"" // ""nuoG"" // ""nuoF"" // ""nuoE"" // ""nuoC"" // ""nuoB"" // ""dmsA"" // ""dmsB"" // ""dmsC"""	"NADH:quinone oxidoreductase I // ""dimethyl sulfoxide reductase, chain A"" // ""dimethyl sulfoxide reductase, chain B"" // ""dimethyl sulfoxide reductase, chain C"""	"Anaerobic Respiration // ""Electron Transfer"""	"dimethyl sulfide // ""H<sub>2</sub>O"" // ""NAD<sup>+</sup>"""
NADH to fumarate electron transfer	"nuoA // ""nuoH"" // ""nuoJ"" // ""nuoK"" // ""nuoL"" // ""nuoM"" // ""nuoN"" // ""nuoI"" // ""nuoG"" // ""nuoF"" // ""nuoE"" // ""nuoC"" // ""nuoB"" // ""frdA"" // ""frdB"" // ""frdC"" // ""frdD"""	"NADH:quinone oxidoreductase I // ""fumarate reductase flavoprotein"" // ""fumarate reductase iron-sulfur protein"" // ""fumarate reductase membrane protein"" // ""fumarate reductase membrane protein"""	"Anaerobic Respiration // ""Electron Transfer"""	"succinate // ""NAD<sup>+</sup>"""
NADH to trimethylamine <i>N</i>-oxide electron transfer	"nuoA // ""nuoH"" // ""nuoJ"" // ""nuoK"" // ""nuoL"" // ""nuoM"" // ""nuoN"" // ""nuoI"" // ""nuoG"" // ""nuoF"" // ""nuoE"" // ""nuoC"" // ""nuoB"" // ""torC"" // ""torA"""	"NADH:quinone oxidoreductase I // ""trimethylamine N-oxide reductase TorCA"""	"Anaerobic Respiration // ""Electron Transfer"""	"H<sub>2</sub>O // ""trimethylamine"" // ""NAD<sup>+</sup>"""
"NarQ Two-Component Signal Transduction System, nitrate dependent"	"narL // ""narP"" // ""narQ"""		Signal transduction pathways	"NarL-Phosphorylated DNA-binding transcriptional dual regulator // ""NarP-Phosphorylated DNA-binding transcriptional dual regulator"" // ""ADP"""
"NarX Two-Component Signal Transduction System, nitrate dependent"	"narL // ""narX"" // ""narP"""		Signal transduction pathways	"NarL-Phosphorylated DNA-binding transcriptional dual regulator // ""ADP"" // ""NarP-Phosphorylated DNA-binding transcriptional dual regulator"""
nitrate reduction III (dissimilatory)	"fdnG // ""fdnH"" // ""fdnI"" // ""fdoG"" // ""fdoH"" // ""fdoI"" // ""narG"" // ""narH"" // ""narI"" // ""narY"" // ""narZ"" // ""narV"""	"formate dehydrogenase N, subcomplex // ""formate dehydrogenase-O, &alpha; subunit"" // ""formate dehydrogenase-O, &beta; subunit"" // ""formate dehydrogenase-O, &gamma; subunit"" // ""nitrate reductase A"" // ""nitrate reductase Z"""	"Anaerobic Respiration // ""Electron Transfer"" // ""Nitrate Reduction"""	"nitrite // ""H<sub>2</sub>O"" // ""CO<SUB>2</SUB>"""
nitrate reduction IX (dissimilatory)	"glpA // ""glpB"" // ""glpC"" // ""narG"" // ""narH"" // ""narI"" // ""narY"" // ""narZ"" // ""narV"""	"glycerol-3-phosphate dehydrogenase, anaerobic // ""nitrate reductase A"" // ""nitrate reductase Z"""	"Anaerobic Respiration // ""Electron Transfer"" // ""Nitrate Reduction"""	"nitrite // ""H<sub>2</sub>O"" // ""glycerone phosphate"""
nitrate reduction VIII (dissimilatory)	"nuoA // ""nuoH"" // ""nuoJ"" // ""nuoK"" // ""nuoL"" // ""nuoM"" // ""nuoN"" // ""nuoI"" // ""nuoG"" // ""nuoF"" // ""nuoE"" // ""nuoC"" // ""nuoB"" // ""narG"" // ""narH"" // ""narI"" // ""narY"" // ""narZ"" // ""narV"""	"NADH:quinone oxidoreductase I // ""nitrate reductase A"" // ""nitrate reductase Z"""	"Anaerobic Respiration // ""Electron Transfer"" // ""Nitrate Reduction"""	"nitrite // ""H<sub>2</sub>O"" // ""NAD<sup>+</sup>"""
nitrate reduction VIIIb (dissimilatory)	"ndh // ""narG"" // ""narH"" // ""narI"""	"NADH:quinone oxidoreductase II // ""nitrate reductase A"""	"Anaerobic Respiration // ""Electron Transfer"" // ""Nitrate Reduction"""	"H<sub>2</sub>O // ""nitrite"" // ""NAD<sup>+</sup>"""
"nitrate reduction X (periplasmic, dissimilatory)"	"napB // ""napC"" // ""napH"" // ""napG"" // ""napA"" // ""glpD"""	"periplasmic nitrate reductase // ""GlpD"""	"Anaerobic Respiration // ""Electron Transfer"" // ""Nitrate Reduction"""	"glycerone phosphate // ""H<sub>2</sub>O"" // ""nitrite"""
Nitrogen Regulation Two-Component System	"glnE // ""glnA"" // ""glnD"" // ""glnK"" // ""glnB"" // ""glnL"" // ""glnG"""	"GLNE-MONOMER // ""glutamine synthetase"" // ""PII uridylyltransferase / uridylyl removing enzyme"""	Signal transduction pathways	"diphosphate // ""UMP"" // ""H<SUP>+</SUP>"" // ""L-glutamine"" // ""ADP"" // ""a uridylylated PII protein"" // ""PII"""
"NtrBC Two-Component Signal Transduction System, nitrogen-dependent"	"glnL // ""glnG"""		Signal transduction pathways	"ADP // ""NtrC-Phosphorylated DNA-binding transcriptional dual regulator"""
<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)	"glf // ""rfbC"" // ""rfbD"" // ""rfbB"" // ""rffG"" // ""rfbA"" // ""rffH"" // ""glmU"" // ""glmS"" // ""glmM"" // ""pgi"""	"GALPMUT-MONOMER // DTDPDEHYDRHAMEPIM-MONOMER //  //  // DTDPDEHYRHAMREDUCT-MONOMER // ""dTDP-glucose 4,6-dehydratase"" // ""dTDP-glucose 4,6-dehydratase 2"" //  // ""dTDP-glucose pyrophosphorylase 2"" // ""fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase"" // ""L-glutamine:D-fructose-6-phosphate aminotransferase"" // ""phosphoglucosamine mutase"" // "	"Metabolic Clusters // ""<i>O</i>-Antigen Biosynthesis"" // ""Superpathways"""	UDP-&alpha;-D-galactofuranose
octaprenyl diphosphate biosynthesis	ispB	octaprenyl diphosphate synthase	Polyprenyl Biosynthesis	"all-<i>trans</i>-octaprenyl diphosphate // ""diphosphate"""
oleate &beta;-oxidation	"fadM // ""fadB"" // ""fadJ"""	"thioesterase III // ""fatty acid oxidation complex, &alpha; component"" // ""FadJ component of anaerobic fatty acid oxidation complex"""	Fatty Acids Degradation	"(S)-3-hydroxy-(5Z)-tetradecenoyl-CoA // ""H<SUP>+</SUP>"" // ""(3E,5Z)-tetradecadienoate"" // ""coenzyme A"""
palmitate biosynthesis II (bacteria and plants)	"fabB // ""fabG"" // ""fabZ"" // ""fabI"" // ""acpP"" // ""entB"""	"KASI // ""3-oxoacyl-[acyl-carrier-protein] reductase"" // ""3-hydroxy-acyl-[acyl-carrier-protein] dehydratase"" // ""enoyl-[acyl-carrier-protein] reductase"""	Palmitate Biosynthesis	"a palmitoyl-[acp] // ""NAD<sup>+</sup>"" // ""H<sub>2</sub>O"" // ""NADP<sup>+</sup>"" // ""CO<SUB>2</SUB>"" // ""a <i>holo</i>-[acyl-carrier protein]"""
palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	"fabI // ""fabZ"" // ""fabG"" // ""fabB"" // ""tesA"" // ""acpP"" // ""entB"""	"enoyl-[acyl-carrier-protein] reductase // ""3-hydroxy-acyl-[acyl-carrier-protein] dehydratase"" // ""3-oxoacyl-[acyl-carrier-protein] reductase"" // ""KASI"" // ""multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1"""	Palmitoleate Biosynthesis	"palmitoleate // ""a <i>holo</i>-[acyl-carrier protein]"" // ""CO<SUB>2</SUB>"" // ""NADP<sup>+</sup>"" // ""NAD<sup>+</sup>"""
pantothenate and coenzyme A biosynthesis I	"panC // ""panE"" // ""ilvC"" // ""panB"" // ""coaA"" // ""coaD"" // ""coaE"" // ""dfp"" // ""panD"""	"pantothenate synthetase monomer // ""2-dehydropantoate 2-reductase"" // ""acetohydroxy acid isomeroreductase"" // ""3-methyl-2-oxobutanoate hydroxymethyltransferase monomer"" // ""pantothenate kinase monomer"" // ""phosphopantetheine adenylyltransferase"" // EG12312-MONOMER // ""fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase"" // ""aspartate 1-decarboxylase"""	"Coenzyme A Biosynthesis // ""Superpathways"" // ""Vitamins Biosynthesis"""	
pentose phosphate pathway	"talB // ""talA"" // ""tktA"" // ""tktB"" // ""rpe"" // ""rpiB"" // ""rpiA"" // ""pgl"" // ""zwf"" // ""gnd"""	"transaldolase B // ""transaldolase A"" // ""transketolase I"" // ""transketolase II"" // ""ribulose-5-phosphate 3-epimerase"" // ""allose-6-phosphate isomerase / ribose-5-phosphate isomerase B"" // ""ribose-5-phosphate isomerase A"" // 6PGLUCONOLACT-MONOMER // GLU6PDEHYDROG-MONOMER // ""Gnd"""	"Pentose Phosphate Pathways // ""Superpathways"""	
pentose phosphate pathway (non-oxidative branch)	"talB // ""talA"" // ""tktA"" // ""tktB"" // ""rpe"" // ""rpiB"" // ""rpiA"""	"transaldolase B // ""transaldolase A"" // ""transketolase I"" // ""transketolase II"" // ""ribulose-5-phosphate 3-epimerase"" // ""allose-6-phosphate isomerase / ribose-5-phosphate isomerase B"" // ""ribose-5-phosphate isomerase A"""	Pentose Phosphate Pathways	&beta;-D-fructofuranose 6-phosphate
pentose phosphate pathway (oxidative branch)	"pgl // ""zwf"" // ""gnd"""	"6PGLUCONOLACT-MONOMER // GLU6PDEHYDROG-MONOMER // ""Gnd"""	Pentose Phosphate Pathways	"D-ribulose 5-phosphate // ""CO<SUB>2</SUB>"" // ""NADPH"" // ""H<SUP>+</SUP>"""
peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	"murG // ""mraY"" // ""murA"" // ""murB"" // ""murF"" // ""murC"" // ""murD"" // ""murI"" // ""murE"" // ""ddlA"" // ""ddlB"""	"NACGLCTRANS-MONOMER // PHOSNACMURPENTATRANS-MONOMER // ""UDP-<i>N</i>-acetylglucosamine enolpyruvoyl transferase"" // ""UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase"" // UDP-NACMURALGLDAPAALIG-MONOMER // ""UDP-<i>N</i>-acetylmuramate-alanine ligase"" // ""UDP-<i>N</i>-acetylmuramoyl-L-alanine:D-glutamate ligase"" // ""glutamate racemase"" // UDP-NACMURALGLDAPLIG-MONOMER // DALADALALIGA-MONOMER // ""D-alanine-D-alanine ligase B"""	"Peptidoglycan Biosynthesis // ""Superpathways"""	"UMP // ""H<SUP>+</SUP>"" // ""<i>ditrans,octacis</i>-undecaprenyldiphospho-<i>N</i>-acetyl-(<i>N</i>-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimeloyl-D-alanyl-D-alanine"" // ""UDP"""
peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	"mtgA // ""pbpC"" // ""ampH"" // ""yfeW"" // ""dacC"" // ""dacD"" // ""dacA"" // ""mrdA"" // ""ftsI"" // ""mrcB"" // ""lpoB"" // ""lpoA"" // ""mrcA"" // ""ldtA"" // ""ldtB"" // ""ldtC"" // ""ldtD"" // ""ldtE"""	"biosynthetic peptidoglycan transglycosylase // G7322-MONOMER // EG12867-MONOMER // ""penicillin binding protein 4B"" // ""penicillin-binding protein 6"" // ""DD-carboxypeptidase, penicillin-binding protein 6b"" // ""D-alanyl-D-alanine carboxypeptidase, fraction A; penicillin-binding protein 5"" // ""cell shape; peptidoglycan synthetase; penicillin-binding protein 2"" // ""essential cell division protein FtsI; penicillin-binding protein 3"" // ""peptidoglycan glycosyltransferase / peptidoglycan D,D-transpeptidase"" // ""peptidoglycan glycosyltransferase - peptidoglycan D,D transpeptidase"" // ""L,D-transpeptidase ErfK"" // ""L,D-transpeptidase YbiS"" // ""L,D-transpeptidase YcfS"" // ""L,D-transpeptidase LdtD"" // ""L,D-transpeptidase LdtE"""	Peptidoglycan Biosynthesis	"a mature peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimeloyl-glycine) tetrapeptide // ""H<SUP>+</SUP>"" // ""<i>di-trans,octa-cis</i>-undecaprenyl diphosphate"" // ""a mature peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimeloyl-D-alanine) tetrapeptide"" // ""a mature peptidoglycan with L,D cross-links (<i>meso</i>-diaminopimelate containing)"" // ""a mature peptidoglycan with D,D cross-links (<i>meso</i>-diaminopimelate containing)"" // ""a mature peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimelate) tripeptide"" // ""a mature peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide"" // ""D-alanine"""
phenylacetate degradation I (aerobic)	"paaH // ""paaE"" // ""paaA"" // ""paaC"" // ""paaB"" // ""paaJ"" // ""paaG"" // ""paaZ"" // ""paaK"" // ""paaF"""	"3-hydroxyadipyl-CoA dehydrogenase (NAD<sup>+</sup>) // ""ring 1,2-phenylacetyl-CoA epoxidase"" // ""&beta;-ketoadipyl-CoA thiolase"" // ""predicted ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)"" // ""oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase"" // ""phenylacetate-CoA ligase"" // ""predicted 2,3-dehydroadipyl-CoA hydratase"""	Phenylacetate Degradation	"diphosphate // ""AMP"" // ""acetyl-CoA"" // ""NADH"" // ""succinyl-CoA"""
phenylethylamine degradation I	"tynA // ""feaB"""	"copper-containing amine oxidase // ""FeaB"""	"Amines and Polyamines Degradation // ""Phenylethylamine Degradation"""	"H<SUP>+</SUP> // ""NADH"" // ""phenylacetate"" // ""ammonium"" // ""hydrogen peroxide"""
"PhoQP Two-Component Signal Transduction System, magnesium-dependent"	"phoP // ""phoQ"""		Signal transduction pathways	"PhoP-Phosphorylated DNA-binding transcriptional dual regulator // ""ADP"""
"PhoRB Two-Component Signal Transduction System, phosphate-dependent"	"phoB // ""phoR"""		Signal transduction pathways	"PhoB-Phosphorylated DNA-binding transcriptional dual regulator // ""ADP"""
